disease,mortality_1y,mortality_5y,source,confidence
"Analgesia; Surgery; Cancer of Head and Neck; Oropharyngeal Cancer; Carcinoma of Unknown Primary; Pain, Postoperative; Postoperative Pain",15.0,45.0,Head and neck cancer most severe component; 5y survival ~50-65% (SEER),medium
Anemia,2.0,8.0,Heterogeneous; mortality reflects underlying cause,low
Anesthesia With Use of LMA (Laryngeal Mask Airway),0.0,0.0,Anesthesia procedural setting; not a disease,high
Anesthesia for Elective Surgery Patients,0.0,0.0,Anesthesia procedural setting; not a disease,high
"Anesthesia, General; Anesthesia, Intravenous",0.0,0.0,Anesthesia procedural setting; not a disease,high
"Anesthesia, Intravenous",0.0,0.0,Anesthesia procedural setting; not a disease,high
Anesthesia-induced hypotension,0.0,1.0,Transient procedural complication; low direct mortality,high
Anesthesia; Functional; Anesthesia,0.0,0.0,Anesthesia procedural setting; not a disease,high
"Anesthetic, Sedative or Analgesic Complications in Labor or Delivery",0.0,1.0,Obstetric anesthesia complication; very low mortality,high
Angina,2.0,10.0,"Stable angina/CAD; 1y mortality low, ~10-20% over 5y (registry)",medium
Angina; Pulmonary Arterial Hypertension,10.0,40.0,PAH most severe component; PAH 5y mortality ~30-40% (REVEAL registry),medium
"Angioedema, Hereditary, Types I and II",1.0,3.0,HAE low mortality with treatment; airway attacks historically fatal (registry),medium
Ankylosing Spondylitis,0.0,3.0,AS modest excess mortality; SMR ~1.5x (cohort),high
Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis; Microscopic Polyangiitis; Wegener Granulomatosis,8.0,20.0,AAV 5y survival ~75-88% (meta-analysis/cohort),high
"Anxiety Neuroses; Anxiety States, Neurotic; Neuroses, Anxiety",0.0,1.0,Non-lethal psychiatric disorder; small excess mortality,high
Anxiety; Preoperative Anxiety,0.0,0.0,Perioperative anxiety symptom; non-lethal,high
Aortic Coarctation; Erector Spinae Plane Block; Paediatric,1.0,3.0,Pediatric aortic coarctation repair setting; low contemporary mortality,medium
Aortic Valve Disease; Aortic Valve Stenosis; Aortic Valve Failure,5.0,30.0,Severe symptomatic aortic stenosis untreated ~50% 2y mortality; using moderate aggregate,medium
Aortic Valve Stenosis; Cardiovascular Diseases; Heart Valve Diseases; Ventricular Outflow Obstruction; Thrombosis,5.0,30.0,Aortic stenosis; severe symptomatic untreated high mortality (cohort),medium
Apathy,0.0,1.0,Neuropsychiatric symptom; reflects underlying disease,medium
Apnea of Prematurity,2.0,3.0,Apnea of prematurity; low mortality with monitoring; reflects prematurity,medium
Arterial Hypertension,0.0,2.0,Chronic hypertension; low direct short-term mortality (risk factor),high
Arterial Hypertension; Albuminuria,1.0,5.0,Hypertension with albuminuria; elevated cardiorenal risk,medium
"Arthritis, Juvenile",0.0,1.0,JIA; very low mortality with treatment,high
"Arthritis; Osteoarthritis, Knee; Osteoarthritis, Hip; Thromboembolism",0.0,2.0,Osteoarthritis non-lethal; VTE component small acute risk,high
Ascites; Hepatic Cirrhosis,20.0,50.0,Decompensated cirrhosis with ascites; 5y mortality ~50% (cohort),high
Atherosclerotic Disease; Perioperative Bleeding,5.0,20.0,Atherosclerotic CV disease; 5y mortality ~15-25% depending on burden,medium
"Atopic Dermatitis; Atopic Dermatitis, Unspecified; Eczema; Eczema, Atopic",0.1,0.5,Atopic dermatitis non-lethal chronic skin disease; near-zero excess mortality (population cohorts),high
Atrial Fibrillation; Cardiac Surgery; Colchicine Adverse Reaction,5.0,20.0,AF cohorts (Framingham/registry); ~1yr ~5% rising to ~20% at 5yr most-severe component (AF),medium
Atrial Fibrillation; End-stage Kidney Disease,22.0,65.0,USRDS ESRD ~20-25% 1yr / ~50-65% 5yr mortality (most severe component),high
Atrial Fibrillation; Heart Diseases,5.0,20.0,AF/heart disease registries ~5% 1yr / ~20% 5yr,medium
Atrial Fibrillation; Intracerebral Hemorrhage,40.0,55.0,"ICH 30-day mortality ~40%, 1yr ~50%; using ICH most severe component",high
Atrial Fibrillation; Periodontal Disease; Hemorrhage,5.0,20.0,AF most-severe component (Framingham/registry),medium
Atrial Fibrillation; Stroke,20.0,45.0,"Ischemic stroke 1yr mortality ~20-25%, 5yr ~45-50% (stroke component)",high
Atrial Fibrillation; Stroke; Bleeding,20.0,45.0,Stroke component 1yr ~20% / 5yr ~45%,high
Atrial High Rate Episodes,3.0,15.0,Subclinical AF/AHRE registries; modest excess mortality,medium
Atrophic Vaginitis,0.0,0.5,Benign non-lethal menopausal condition; no excess mortality,high
Attention Deficit Hyperactivity Disorder (ADHD),0.1,0.5,ADHD slightly elevated all-cause mortality (accidents) but near-zero absolute 1-5yr,high
"Atypical; Mycobacterium, Pulmonary, Tuberculous",8.0,27.0,NTM-PD pooled 5yr all-cause mortality ~27% (systematic review); 1yr ~8%,high
Autism Spectrum Disorders,0.2,1.0,ASD modest excess mortality (epilepsy/accidents); low absolute 1-5yr,high
Autistic Disorder in Children and Adolescents,0.1,0.5,Childhood ASD; low absolute mortality,high
Autoimmune Diseases; Sjogren's Syndrome; Dry Eye,1.0,5.0,Primary Sjogren's near-normal life expectancy; small excess (lymphoma) at 5yr,medium
Autosomal Dominant Polycystic Kidney Disease,1.0,5.0,ADPKD slow progression to ESRD ~age 55-60; low 1-5yr mortality,high
Autosomal Dominant Polycystic Kidney Disease （ADPKD),1.0,5.0,ADPKD slow progression; low 1-5yr mortality,high
"Azoospermia, Nonobstructive; Oligozoospermia",0.0,0.0,"Male infertility; non-lethal condition, no excess mortality",high
BPH With Other Lower Urinary Tract Symptoms,0.5,3.0,BPH benign; mortality reflects age of population not disease,high
Back Pain; Neck Pain,0.2,1.0,Musculoskeletal pain non-lethal; near-zero excess mortality,high
Bacteremia,15.0,30.0,"Bacteremia/bloodstream infection 30-day mortality ~15-20%, 1yr higher",medium
Bacterial Pneumonia; Community-Acquired Infections,12.0,30.0,CAP 30-day mortality ~10-12%; 1yr ~25-30% (older cohorts),high
Bariatric Surgery Candidate,1.0,5.0,Severe obesity; modest excess mortality over 1-5yr (procedural/condition),medium
Barrett's Esophagus,1.0,5.0,Barrett's low annual progression to EAC (~0.3%/yr); low mortality,high
Behcet syndrome,1.0,5.0,Behcet's near-normal survival; mortality from vascular/CNS involvement,medium
Benign Prostatic Hyperplasia; Enlarged Prostate,0.5,3.0,BPH benign; mortality reflects population age,high
Bicuspid Aortic Valve,1.0,5.0,"BAV; mortality from valve dysfunction/aortopathy over years, low short-term",medium
Biochemical Relapse After Definitive Treatment for Prostate Cancer,2.0,13.0,BCR prostate cancer 5yr OS ~85-87%; long indolent course (median 8yr to mets),high
Bladder Cancer,22.0,23.0,SEER bladder cancer 5yr relative survival ~77% (all stages); 1yr ~78%,high
Bleeding; ERCP,2.0,10.0,Procedural bleeding/post-ERCP; low procedural mortality,medium
Blepharitis,0.0,0.5,Benign eyelid inflammation; no excess mortality,high
Blood Cancer,20.0,40.0,Hematologic malignancy aggregate; SEER leukemia/lymphoma mixed ~60% 5yr survival,medium
Bloodstream Infections (BSI) Due to CRE; Hospital-Acquired Bacterial Pneumonia (HABP) Due to CRE; Ventilator-Associated Bacterial Pneumonia (VABP) Due to CRE; Complicated Urinary Tract Infection (cUTI) Due to CRE; Acute Pyelonephritis (AP) Due to CRE,45.0,55.0,CRE bloodstream infection 30-day mortality ~40-53%; very high case-fatality,high
Bone Metastases,55.0,87.0,Bone mets 1yr survival ~10-51% by primary (lung lowest); 5yr ~13% best (breast),high
Borderline personality disorder,1.0,4.0,BPD elevated suicide mortality (~4-10% lifetime); low absolute 1-5yr,medium
Bowel Cleansing; Colon Capsule Completion Times,0.0,0.0,"Procedural/diagnostic prep; not a disease, no mortality",high
"Brachial Plexus Block; Pain, Postoperative",0.0,0.0,Anesthesia/postoperative pain setting; near-zero mortality,high
Brain Injuries,25.0,35.0,TBI moderate-severe 1yr mortality ~25-30%; varies by severity,medium
Brain Tumor Treated With Cranial or Cranial-Spinal Radiation,30.0,50.0,"Brain tumor aggregate (survivor cohort); variable, using moderate estimate",low
Breast Cancer; Heart Failure; Cardiotoxicity,5.0,20.0,Breast cancer SEER 5yr ~91%; HF component ~20% 5yr (most severe = HF),medium
Breast Cancer; Lung Cancer; Ovarian Cancer; Oesophageal Cancer; Head Cancer Neck; Cervical Cancer; Endometrial Cancer,40.0,60.0,Most severe component oesophageal/lung cancer; SEER ~20% 5yr survival,medium
Breast Cancer; Ovarian Cancer; Pancreas Cancer; Prostate Cancer; BRCA1 Mutation; BRCA-Mutated Ovarian Carcinoma; BRCA-Associated Breast Carcinoma; HRD Positive Advanced Ovarian Cancer,30.0,55.0,"Most severe = advanced ovarian/pancreas; SEER ovarian 5yr ~50%, advanced lower",medium
Breast Diseases,2.0,9.0,Aggregate breast disease (mostly benign + cancer); using breast cancer SEER ~91% 5yr lower bound,low
Breast Neoplasms; BRCA 1 Gene Mutation; BRCA 2 Gene Mutation,3.0,9.0,Breast cancer SEER 5yr relative survival ~91% (all stages),high
Bronchopulmonary Dysplasia,10.0,15.0,BPD preterm infants; in-hospital/1yr mortality ~10-15% in moderate-severe,medium
Bronchoscopy,0.0,0.0,Diagnostic procedure; not a disease,high
Bronchoscopy; Conscious Sedation,0.0,0.0,Procedure/sedation setting; not a disease,high
Bulimia Nervosa,0.2,1.0,Bulimia nervosa standardized mortality ~2x; low absolute 1-5yr,medium
Bullous Pemphigoid,24.0,40.0,"BP meta-analysis 1yr mortality ~23.5%; elderly population, ~40% by ~3-5yr",high
CDKL5 deficiency disorder,2.0,8.0,"CDD rare epileptic encephalopathy; males die in 1st-2nd decade, females better; estimated",low
CMV Disease,15.0,30.0,CMV disease in immunocompromised; significant mortality in transplant/AIDS,medium
COVID-19 Pneumonia,15.0,18.0,COVID-19 pneumonia hospitalized mortality ~15-20% (pre-vaccine cohorts),medium
COVID-19; Corona Virus Infection; ARDS; Acute Respiratory Distress Syndrome,40.0,45.0,COVID-ARDS mortality ~40-45% (most severe component ARDS),high
COVID-19; SARS-CoV 2,3.0,4.0,"COVID-19 overall IFR/CFR varies; hospitalized higher, overall infection low",medium
COVID-19; Severe Acute Respiratory Syndrome,40.0,45.0,Severe/ARDS COVID component ~40% mortality,medium
COVID-19; Thrombosis Embolism; Bleeding,15.0,18.0,COVID-19 with thrombotic complications; hospitalized mortality estimate,medium
COVID-19; Viral Respiratory Illnesses,3.0,4.0,COVID-19/viral respiratory aggregate; low overall mortality,medium
COVID-19; ards,40.0,45.0,COVID-ARDS ~40-45% mortality,high
COVID-19; cytokine release syndrome,30.0,35.0,COVID with CRS/severe inflammation; high mortality estimate,medium
COVID; COVID-19; SARS-CoV-2; SARS (Severe Acute Respiratory Syndrome),10.0,11.0,"COVID/SARS aggregate; SARS CFR ~10%, COVID lower",medium
CTEPH,10.0,30.0,"CTEPH untreated 5yr survival poor; treated median 6-7yr; ~10% 1yr, ~30% 5yr",high
Cachexia in Advanced Cancer,70.0,95.0,Advanced cancer cachexia median survival ~3-6 months; ~25% of cancer deaths,high
Cancer,30.0,40.0,All-cancer aggregate; SEER all-sites 5yr relative survival ~68% (so ~32% at 5yr),medium
Cancer Malignancies,30.0,40.0,All-cancer aggregate; SEER all-sites ~68% 5yr survival,medium
Cancer Patients With COVID-19 Infection,30.0,45.0,Cancer + COVID; elevated mortality (cancer component + acute infection),medium
Cancer of Stomach,45.0,65.0,SEER stomach cancer 5yr relative survival ~36% (all stages); 1yr ~55%,high
Cancer; Tumour; Surgery,30.0,40.0,Cancer aggregate undergoing surgery; SEER all-sites ~68% 5yr,low
"Carcinoma, Non-Small-Cell Lung",55.0,75.0,SEER NSCLC 5yr relative survival ~26% (all stages); 1yr ~45-50%,high
"Carcinoma, Pancreatic Ductal",70.0,87.0,SEER pancreatic cancer 5yr relative survival ~13%; 1yr ~30%,high
Cardiac Arrest,90.0,92.0,Out-of-hospital cardiac arrest survival to discharge ~10%; very high mortality,high
Cardiac Disease,5.0,20.0,"Aggregate cardiac disease; CHD/HF mixed ~5% 1yr, ~20% 5yr",low
Cardiac Edema,8.0,30.0,Cardiac edema = heart failure manifestation; HF ~8% 1yr / ~30% 5yr,medium
Cardiac Surgery; Congenital Heart Defects; Cardiopulmonary Bypass,3.0,8.0,Congenital cardiac surgery operative mortality ~2-5%; longer-term low,medium
Cardiac-induced Edema,8.0,30.0,Heart failure manifestation; HF ~8% 1yr / ~30% 5yr,medium
Cardiomyopathies; Chemotherapy Effect; Diastolic Dysfunction; Systolic Dysfunction,8.0,30.0,Cardiomyopathy/HF; ~8% 1yr / ~30% 5yr mortality,medium
"Cardiomyopathy, Hypertrophic; Cardiomyopathy, Hypertrophic, Familial",1.0,3.0,HCM annual mortality ~0.5-1%; near-normal life expectancy with management,high
Cardiopulmonary Bypass,2.0,5.0,Cardiac surgery with CPB; operative mortality low-moderate,low
Cardiothoracic Surgery; Vascular Surgery,3.0,10.0,Major cardiothoracic/vascular surgery; perioperative + condition mortality,low
Cardiovascular Disease,5.0,20.0,CVD aggregate; CHD/HF mixed ~5% 1yr / ~20% 5yr,medium
Cardiovascular Disease; Insulin Resistance; Glucose Intolerance; Obesity,5.0,20.0,CVD most severe component ~5% 1yr / ~20% 5yr,medium
Carotid Artery Occlusion; Middle Cerebral Artery Occlusion; Stroke,20.0,45.0,Ischemic stroke (MCA) 1yr ~20-25% / 5yr ~45-50%,high
Carotid Artery Stenosis; Strokes,20.0,45.0,Stroke component 1yr ~20% / 5yr ~45%,high
Carpal Tunnel Syndrome,0.0,0.5,Benign nerve entrapment; no excess mortality,high
Cataract,0.0,1.0,Benign ocular; mortality reflects population age not disease,high
Cerebral Aneurysm,10.0,20.0,Unruptured aneurysm low; ruptured SAH ~30-40% mortality; using mixed estimate,low
Cerebral Vein Thrombosis,8.0,12.0,CVST mortality ~5-10% acute; relatively good long-term prognosis,medium
Cervical Carcinoma,15.0,33.0,SEER cervical cancer 5yr relative survival ~67% (all stages); 1yr ~85%,high
Cesarean Section Complications,0.1,0.3,C-section maternal mortality very low in developed settings,high
"Cesarean Section Complications; Blood Loss, Surgical; Misoprostol; Tranexamic Acid",0.1,0.3,Obstetric surgical setting; very low maternal mortality,high
Cesarean complications,0.1,0.3,C-section complications; very low maternal mortality,high
Chemoradiotherapy in Cervical Cancer,15.0,33.0,"Cervical cancer SEER 5yr ~67% (all stages, treatment-context)",medium
Chemotherapy Induced Nausea and Vomiting,0.0,0.0,Supportive-care symptom; not a lethal disease itself,high
Child Preschool,0.05,0.1,Age descriptor not a disease; baseline childhood mortality near zero,high
Children With Febrile Urinary Tract Infection,0.1,0.3,Pediatric febrile UTI; very low mortality with treatment,high
"Chorea, Huntington",2.0,10.0,Huntington's disease median survival ~15-20yr from onset; ~2% 1yr / ~10% 5yr,medium
Chronic Graft Versus Host Disease,15.0,35.0,cGVHD 5yr OS ~52-67% by severity; using ~35% mortality at 5yr,high
Chronic Graft-Versus-Host Disease,15.0,35.0,cGVHD 5yr OS ~52-67%; ~35% mortality 5yr,high
Chronic Heart Failure With Reduced Ejection Fraction,8.0,40.0,HFrEF 1yr mortality ~8-10%; 5yr ~40-50%,high
Chronic Heart Failure With Reduced Ejection Fraction (HFrEF),8.0,40.0,HFrEF 1yr ~8-10% / 5yr ~40-50% mortality,high
Chronic Heart Failure; Acute Heart Failure; Diabetes Mellitus,10.0,45.0,Acute/chronic HF most severe; ~10% 1yr / ~45% 5yr,high
Chronic Hepatitis C,1.0,5.0,Chronic HCV slow progression; low 1-5yr mortality (cirrhosis develops over decades),high
Chronic Idiopathic Urticaria,0.0,0.2,Benign chronic urticaria; no excess mortality,high
Chronic Inflammatory Demyelinating Polyradiculopathy,2.0,8.0,"CIDP ~87% ambulatory at 5yr; low but non-zero mortality, estimated",medium
Chronic Kidney Disease; Depression,5.0,25.0,CKD (non-dialysis aggregate) ~5% 1yr / ~20-25% 5yr; varies by stage,medium
"Chronic Kidney Disease; Hyperparathyroidism; Hyperparathyroidism, Secondary; Kidney Disease; Secondary Hyperparathyroidism",10.0,40.0,Advanced CKD/ESRD-associated; ~10% 1yr / ~40% 5yr,medium
Chronic Leukemia,5.0,20.0,Chronic leukemia (CLL/CML) aggregate; SEER 5yr survival ~70-88%,medium
Chronic Lymphocytic Leukaemia,5.0,12.0,SEER CLL 5yr relative survival ~88%; indolent course,high
Chronic Myelogenous Leukemia; Acute Lymphoblastic Leukemia; Acute Myeloid Leukemia; Acute Biphenotypic Leukemia; Myelodysplastic Syndrome; Myeloproliferative Neoplasm; Non-Hodgkin Lymphoma; Hodgkins Disease; Chronic Lymphocytic Leukemia; Multiple Myeloma,30.0,70.0,Most severe = AML; SEER AML 5yr relative survival ~30%; 1yr ~50-60%,medium
Chronic Pain,0.2,1.0,Chronic pain non-lethal; small excess mortality (suicide/opioid),high
Chronic Rhinosinusitis With Nasal Polyps,0.0,0.2,Benign sinonasal disease; no excess mortality,high
Chronic Rhinosinusitis With Polyposis,0.0,0.2,Benign sinonasal disease; no excess mortality,high
Chronic Subdural Hematomas,10.0,25.0,"Chronic SDH (elderly); 1yr mortality ~10-15%, higher with comorbidity",medium
Chronic Viral Hepatitis B Without Delta-agent,1.0,4.0,Chronic HBV slow progression; low 1-5yr mortality absent cirrhosis/HCC,high
Churg-Strauss Syndrome; Eosinophilic Granulomatosis With Polyangiitis,3.0,10.0,EGPA treated 5yr survival ~90-95%; ~3% 1yr / ~10% 5yr mortality,high
Circulatory; Change,5.0,20.0,Vague circulatory aggregate; using CVD-like estimate,low
Cirrhosis; Hepatic Encephalopathy; Hyponatremia,30.0,60.0,Decompensated cirrhosis (HE) 1yr mortality ~30-40%; 5yr ~60-70%,high
"Cirrhosis; Hypertension, Portal; Bleeding Esophageal Varices; Portal Vein Thrombosis",30.0,65.0,Decompensated cirrhosis with variceal bleed; 1yr ~30-40% / 5yr ~65%,high
Classical progressive supranuclear palsy,5.0,45.0,"PSP-RS median survival ~6yr from onset; ~5% 1yr, ~45% by 5yr",high
Clostridium Difficile,8.0,25.0,C. difficile infection 30-day all-cause mortality ~8-10%; 1yr higher (elderly),high
"Colitis, Ulcerative",0.5,2.0,Ulcerative colitis near-normal life expectancy; small excess mortality,high
Colon Cancer,20.0,35.0,SEER colon/colorectal 5yr relative survival ~65%; 1yr ~80%,high
Colon Cancer; Inflammatory Bowel Diseases; Gastrointestinal Bleed; Colon Polyp,20.0,35.0,Colon cancer most severe; SEER ~65% 5yr survival,medium
Colorectal Cancer; Metastases,55.0,85.0,SEER metastatic (distant) colorectal 5yr relative survival ~15%; 1yr ~45%,high
Colorectal Neoplasms; Neoplasm Metastasis; Intestinal Neoplasms; Gastrointestinal Neoplasms; Digestive System Neoplasms,55.0,85.0,Metastatic colorectal/GI; SEER distant ~15% 5yr survival,medium
Colorectal and Pancreas Cancer,55.0,80.0,Most severe = pancreatic; SEER pancreatic ~13% 5yr survival,medium
Community Acquired Bacterial Pneumonia,12.0,30.0,CAP 30-day mortality ~10-12%; 1yr ~25-30%,high
Community Acquired Pneumonia,12.0,30.0,CAP 30-day mortality ~10-12%; 1yr ~25-30%,high
Community Acquired Respiratory Disease Syndrome,12.0,30.0,CAP/respiratory infection; ~12% 1yr / ~30% 5yr,medium
Community-acquired Pneumonia; Bacterial Pneumonia,12.0,30.0,CAP 30-day mortality ~10-12%; 1yr ~25-30%,high
Complicated Intra-abdominal Infections; Complicated Appendicitis,5.0,12.0,Complicated intra-abdominal infection mortality ~5-10% acute,medium
Complicated Skin and Soft Tissue Infection,3.0,10.0,cSSTI mortality low-moderate; higher with sepsis/comorbidity,medium
Complicated Urinary Tract Infection; Complicated Intra-abdominal Infection,5.0,12.0,"Complicated infection aggregate; ~5% acute mortality, higher long-term",medium
Complications of Bone Marrow Transplant; Hematologic Neoplasms,25.0,45.0,Allo-HSCT complications/hematologic malignancy; ~25% 1yr / ~45% 5yr NRM+relapse,medium
Congenital Adrenal Hyperplasia,1.0,3.0,CAH near-normal life expectancy with treatment; adrenal crisis risk,medium
Congenital Cystic Kidney Disease,2.0,5.0,Congenital cystic/polycystic kidney; low 1-5yr mortality (slow progression),low
Congenital Cytomegalovirus Infection,5.0,10.0,"Congenital CMV; symptomatic cases higher mortality/morbidity, estimated",low
Congenital Cytomegalovirus Infection; Sensorineural Hearing Loss,5.0,10.0,Congenital CMV with SNHL; symptomatic estimate,low
Congenital Heart Disease With Fontan Circulation,2.0,8.0,Fontan cohorts (single-ventricle); 10y survival ~85-90%,medium
Congenital Heart Disease in Children; Inflammatory Response,1.0,3.0,Pediatric CHD registries; most-severe component,low
Congestive heart failure,22.0,55.0,"Framingham/Mayo Clin Proc: ~20-30% 1y, ~45-60% 5y mortality",high
Constipation,0.0,1.0,Chronic functional GI condition; negligible direct mortality,high
Contraceptive Usage,0.0,0.0,Non-disease (contraception use); no disease mortality,high
Corona Virus Infection; Acute Respiratory Distress Syndrome; SARS-CoV Infection; Coronavirus; Coronavirus Infections,39.0,40.0,COVID-ARDS pooled in-hospital mortality ~39% (most severe component),medium
Coronary Artery Bypass,2.0,10.0,"CABG = procedure for CAD; ~30d mortality 1-3%, 5y ~8-12%",medium
Coronary Artery Disease (CAD); Acute Coronary Syndrome (ACS),5.0,15.0,"Post-ACS registries (GRACE): ~5% 1y, ~15% 5y mortality",medium
Coronary Artery Disease; Acute Coronary Syndrome,5.0,15.0,"Post-ACS registries (GRACE): ~5% 1y, ~15% 5y mortality",medium
Coronary Artery Disease; Angina Pectoris,2.0,10.0,Stable CAD/angina cohorts; annual mortality ~1-2%,medium
Coronary Artery Disease; Chronic Kidney Disease; Hypovitaminosis D; Secondary Hyperparathyroidism,8.0,30.0,"CAD+CKD (most severe); CKD-stage dependent, elevated CV mortality",low
Coronary Artery Disease; Myocardial Ischemia; Myocardial Infarction; Stent Thrombosis; Cardiovascular Diseases,6.0,18.0,"Post-MI/stent cohorts; ~5-7% 1y, ~15-20% 5y mortality",medium
"Coronavirus Infection; Pneumonia, Viral; Acute Respiratory Distress Syndrome",39.0,40.0,COVID-ARDS pooled in-hospital mortality ~39%,medium
"Coronavirus Infections; Pneumonia, Viral",10.0,11.0,COVID viral pneumonia hospitalized ~10-15% mortality,medium
Coronavirus; Acute Respiratory Infection; SARS-CoV Infection,5.0,6.0,COVID/SARS infection overall hospitalized mortality,low
Cough,0.0,0.0,"Symptom, not lethal disease; negligible mortality",high
Covid-19 Pneumonia,12.0,13.0,Hospitalized COVID pneumonia ~10-15% mortality,medium
Covid-19; Hypoxia,15.0,16.0,Hypoxic (severe) COVID hospitalized mortality ~15-20%,medium
Covid19; Covid-19 ARDS,39.0,40.0,COVID-ARDS pooled in-hospital mortality ~39%,medium
Covid19; Hypoxia,15.0,16.0,Hypoxic (severe) COVID hospitalized mortality ~15-20%,medium
Covid19; SARS-CoV Infection,5.0,6.0,COVID infection overall hospitalized mortality,low
Coxarthrosis; Arthroplasties Hip Replacement; Perioperative Blood Loss,0.0,2.0,Hip osteoarthritis/elective arthroplasty; minimal direct mortality,medium
Critical Illness,25.0,40.0,"ICU critical illness; ~20-30% in-hospital, higher long-term",medium
Critical Illness; Sedation; Mechanical Ventilation,30.0,45.0,Mechanically ventilated ICU; ~30-40% mortality,medium
Critical Ischemia,20.0,50.0,"Critical limb ischemia; ~20% 1y, ~50% 5y mortality",medium
Crohn disease,1.0,3.0,"IBD cohorts; near-normal life expectancy, slightly elevated SMR",high
Cryptococcal Meningitis; Fungal Meningitis,55.0,65.0,"HIV-assoc cryptococcal meningitis ~50% 10wk, ~65% 1y (varies by region)",medium
Cutaneous Leishmaniasis,1.0,1.0,Cutaneous form rarely fatal (vs visceral); low mortality,medium
Cutaneous Melanoma,3.0,7.0,SEER melanoma overall: 5y RS ~93% (100-93=7); 1y high survival,high
Cutaneous T-Cell Lymphoma,12.0,22.0,CTCL/MF overall 5y OS ~78% (plateau 1997-2005),medium
Cutaneous T-Cell Lymphoma/Mycosis Fungoides,12.0,22.0,CTCL/MF overall 5y OS ~78%,medium
Cystic Fibrosis Pulmonary Exacerbation,3.0,10.0,"CF exacerbation; CF median survival now ~50y, exacerbation elevates short-term risk",low
Cytokine Storm (Covid-19); cytokine release syndrome,30.0,32.0,Severe COVID cytokine storm; high in-hospital mortality ~30-40%,low
Cytomegalovirus Disease,10.0,15.0,CMV disease in immunocompromised; elevated mortality,low
Cytomegalovirus Disease; Kidney Transplant Infection,8.0,15.0,CMV in transplant recipients; moderate elevated mortality,low
Deep Vein Thrombosis,5.0,15.0,"DVT cohorts; mortality largely comorbidity/PE driven, ~5% 1y",medium
Deep Vein Thrombosis; Pulmonary Embolism,10.0,20.0,VTE/PE (most severe); PE ~10-15% 1y mortality,medium
Deep Venous Thrombosis,5.0,15.0,DVT cohorts; ~5% 1y mortality,medium
Delirium; Critical Illness; Intensive Care Psychosis; Cognitive Impairment; Cognitive Decline,25.0,40.0,ICU delirium/critical illness; elevated mortality ~25% 1y,low
Dementia,33.0,60.0,"Hospitalized dementia ~30-38% 1y, ~58-65% 5y mortality",medium
Dengue Hemorrhagic Fever,3.0,3.0,DHF treated CFR ~2-5%; acute illness (no separate 5y),medium
"Depressive Disorder, Major",0.0,2.0,"MDD; modestly elevated all-cause/suicide mortality, low absolute",high
"Dermatitis, Atopic",0.0,0.0,Atopic eczema; negligible mortality,high
Dermatomyositis; Polymyositis,5.0,20.0,"IIM cohorts; 5y mortality ~15-25%, malignancy/ILD-associated",medium
Development,0.0,0.0,Non-disease string (development); no mortality,high
Dexamethasone-induced Hiccup in Chemotherapy,0.0,0.0,Symptom/side-effect string; no disease mortality,high
"Diabetes Mellitus, Type 1",0.0,2.0,"T1D; near-normal short-term, modestly elevated long-term mortality",high
"Diabetes Mellitus, Type 2; Cognitive Functions Confusion",1.0,5.0,"T2D; low-single-digit mortality, CV-driven over time",high
"Diabetes Mellitus, Type 2; Coronary Artery Disease",4.0,14.0,T2D+CAD (most severe); post-ACS-like elevated CV mortality,medium
"Diabetes, Type I; Diabetes, Type II; Angina; Coronary Artery Disease",4.0,14.0,Diabetes+CAD/angina (most severe); elevated CV mortality,medium
Diabetes; Glucose Tolerance,1.0,4.0,Diabetes/IGT; low chronic mortality,high
Diabetes; Microalbuminuria,2.0,8.0,Diabetic nephropathy onset; elevated CV/renal mortality,medium
Diabetic Nephropathies,5.0,25.0,Diabetic kidney disease; high CV/ESRD-driven 5y mortality,medium
Diabetic Patients,1.0,5.0,Generic diabetes; low chronic mortality,medium
Diabetic Retinopathy,1.0,8.0,DR marks advanced diabetes; mortality reflects systemic disease,medium
Diffuse Large B Cell Lymphoma,15.0,36.0,SEER/ACS DLBCL 5y RS ~64% (100-64=36),high
Diffuse Large B-Cell Lymphoma,15.0,36.0,SEER/ACS DLBCL 5y RS ~64%,high
Disease Progression in Chronic Obstructive Pulmonary Disease,5.0,30.0,"COPD cohorts; ~5% 1y, advanced 5y mortality 20-40%",medium
Diverticulitis,1.0,5.0,"Diverticulitis; low mortality, complications elevate risk",medium
Drug Resistant Partial Onset Seizure,1.0,5.0,Refractory focal epilepsy; elevated SUDEP/all-cause mortality,medium
Duchenne Muscular Dystrophy (DMD),1.0,4.0,"DMD survival ~99.8% at 10y, ~59% at 20y; childhood 5y mortality low",medium
Duchenne Muscular Dystrophy; Becker Muscular Dystrophy,1.0,3.0,DMD/BMD (BMD milder); low childhood mortality,medium
Duchenne Muscular Dystrophy; Becker Muscular Dystrophy; Dystrophinopathy,1.0,3.0,Dystrophinopathy; low childhood mortality,medium
Dyslipidemias,0.0,1.0,Lipid disorder; negligible direct short-term mortality,high
Dyspareunia,0.0,0.0,Painful intercourse; no mortality,high
Dyspepsia; Anxiety; Depression,0.0,1.0,Functional/psychiatric; negligible mortality,high
Dysphagia,2.0,10.0,Dysphagia; mortality driven by underlying cause/aspiration,low
Dysphasia,1.0,5.0,Language disorder (often post-stroke); reflects underlying cause,low
