disease,risk_tolerance,severity_basis,confidence
"Muscular Dystrophy, Duchenne; Muscular Dystrophies; Muscular Disorders, Atrophic; Muscular Diseases; Musculoskeletal Diseases; Neuromuscular Diseases; Nervous System Diseases; Genetic Diseases, X-Linked; Genetic Diseases, Inborn",80,progressive fatal muscular dystrophy,high
Musculoskeletal Pain,15,common non-lethal pain,high
Mutant Melanoma,82,melanoma high mortality,high
Myasthenia Gravis,58,can cause respiratory crisis serious,high
Myelodysplastic Syndrome,75,myelodysplastic syndrome leukemia risk,high
Myelodysplastic Syndrome (MDS); Chronic Myelomonocytic Leukemia (CMML),78,MDS/CMML progression to leukemia,high
Myelodysplastic Syndromes,75,myelodysplastic syndrome leukemia risk,high
Myelofibrosis (MF),78,myelofibrosis life-shortening hematologic,high
Myelofibrosis; Primary Myelofibrosis; Post Essential Thrombocythemia Myelofibrosis; Post Polycythemia Vera Myelofibrosis,78,myelofibrosis life-shortening hematologic,high
Myeloid Malignancy; Bone Marrow Failure Syndrome; Transfusion-dependent Red Blood Cell (RBC) Defect; Congenital Immunodeficiency; Metabolic Disease; Severe Immune Dysregulation,85,myeloid malignancy/marrow failure high mortality,high
Myeloma; Venous Thromboembolism,82,myeloma incurable malignancy,high
Myocardial Infarction,82,acute MI high mortality,high
Myocardial Infarction; Peripheral Vascular Disease; Aortic Aneurism,82,acute MI/aortic aneurysm high mortality,high
Myocardial Infarction; ST Segment Elevation Myocardial Infarction (STEMI),85,STEMI acute high mortality,high
Myocardial Infarction; STEMI,85,STEMI acute high mortality,high
Myocardial Injury After Noncardiac Surgery (MINS),65,perioperative myocardial injury elevated mortality,med
Myopia,8,refractive non-lethal,high
NAFLD - Nonalcoholic Fatty Liver Disease,40,chronic liver disease progressive risk,high
NSCLC,88,non-small cell lung cancer high mortality,high
Narcolepsy Type 1 (NT 1),35,chronic disabling sleep disorder not life-threatening,high
Narcolepsy Type 1 (NT1); Narcolepsy Type 2 (NT2),35,chronic disabling sleep disorder not life-threatening,high
Nasopharyngeal Carcinoma,85,invasive carcinoma high mortality if untreated,high
Neck Cancer,85,invasive head/neck cancer high mortality untreated,high
Neck Carcinoma,85,invasive carcinoma high mortality untreated,high
Negative Behaviour Change,10,behavioral issue not life-threatening,low
Neoadjuvant Treatment of Patients With High-risk Early Breast Cancer,80,high-risk invasive breast cancer significant mortality,high
"Neonatal Diseases and Abnormalities; Neonatal Mortality; Pulmonary Arterial Hypertension, Children",90,neonatal mortality and PAH rapidly lethal untreated,high
Neoplasm; Venous Thromboembolism,82,active cancer with VTE high mortality,high
Neoplasms,82,malignancy high mortality untreated,high
Nephrolithiasis,20,painful but rarely fatal kidney stones,high
Nephrotic Syndrome,55,serious renal disease with complications,med
Neurofibromatosis; NF1; Plexiform Neurofibromas,60,progressive tumor disorder with morbidity and malignant risk,med
Neurogenic Detrusor Overactivity,30,bladder dysfunction with renal-risk complications,med
Neuropathic Pain,30,chronic disabling pain not life-threatening,high
Newly-diagnosed Glioblastoma,95,rapidly fatal brain tumor death in months,high
Nicotine Addiction,25,addiction with long-term but not acute mortality,med
Nicotine Dependence,25,addiction with long-term but not acute mortality,med
Non Alcoholic Steatohepatitis,55,progressive liver disease can advance to cirrhosis,high
Non-Alcoholic Fatty Liver Disease,40,chronic liver disease usually slowly progressive,high
Non-CNS Germ Cell Tumors (Seminomas and Nonseminomas),80,malignant germ cell tumor lethal if untreated,high
Non-Hodgkin's Lymphoma,82,malignant lymphoma high mortality untreated,high
Non-Proliferative Diabetic Retinopathy; Cataract,25,vision-threatening but not life-threatening,high
Non-Small Cell Lung Cancer,88,lung cancer high mortality untreated,high
Non-cephalic Presentation; Inhalation of Nitrous Oxide; Pregnancy Complications; Cesarean Section,45,obstetric/delivery setting with maternal-fetal risk,med
Non-melanoma Skin Cancer,40,malignant but rarely metastatic or fatal,high
Non-small-cell Lung Cancer With Somatic EGFR Mutations,88,lung cancer high mortality untreated,high
Nonalcoholic Steatohepatitis,55,progressive liver disease can advance to cirrhosis,high
Nonalcoholic Steatohepatitis (NASH) With Fibrosis,60,advancing fibrotic liver disease toward cirrhosis,high
Nonalcoholic Steatohepatitis; Liver Cirrhosis; Non-alcoholic Fatty Liver Disease,80,cirrhosis high mortality untreated,high
Nonviable pregnancy,40,obstetric condition with maternal hemorrhage/sepsis risk,med
Noonan Syndrome,55,genetic disorder with cardiac and developmental morbidity,med
Obese Children and Adolescents,30,chronic metabolic morbidity not acutely lethal,high
Obesity,35,chronic metabolic morbidity not acutely lethal,high
Obesity; Insulin Resistance,35,chronic metabolic morbidity not acutely lethal,high
Obsessive-compulsive Disorder,35,disabling psychiatric disorder not directly lethal,high
Obstetrical Complications; Hemorrhage; Labor and Delivery,75,obstetric hemorrhage acutely life-threatening,high
Open Heart Surgery,70,cardiac surgical setting high procedural mortality,med
Operable HER2 Positive Breast Cancer,80,invasive breast cancer significant mortality untreated,high
Opioid Use Disorder,60,addiction with high overdose mortality risk,high
Oral SubMucous Fibrosis,40,premalignant fibrotic oral condition,med
Organ Preservation in Rectal Cancer,80,rectal cancer high mortality untreated,high
Oropharyngeal Cancer,85,head/neck cancer high mortality untreated,high
Orthopedic Disorders,25,musculoskeletal morbidity not life-threatening,low
Osteo Arthritis of the Knee,25,chronic joint pain and disability not lethal,high
Osteoarthritis,25,chronic joint pain and disability not lethal,high
Osteoarthrosis,25,chronic joint pain and disability not lethal,high
Other Acute Postoperative Pain,8,acute self-limited postoperative pain,high
"Outpatient Surgery; Pain, Postoperative",8,minor surgical postoperative pain,high
Ovarian Cancer,88,ovarian cancer high mortality untreated,high
Overactive Bladder (OAB); Pharmacokinetics of Mirabegron,18,bothersome bladder symptoms not life-threatening,high
Overactive Bladder Syndrome,18,bothersome bladder symptoms not life-threatening,high
Overactive Bladder; Urinary Incontinence,18,bothersome bladder symptoms not life-threatening,high
Overweight; Autism Spectrum Disorder,25,metabolic and developmental morbidity not lethal,med
PCOS,25,endocrine disorder with metabolic morbidity not lethal,high
PCOS (Polycystic Ovary Syndrome) of Bilateral Ovaries,25,endocrine disorder with metabolic morbidity not lethal,high
PDA,55,patent ductus arteriosus serious in neonates,med
PPI Resistant Gastroesophageal Reflux Disease,18,chronic reflux symptoms not life-threatening,high
PRK Post-operative Pain,8,self-limited postoperative ocular pain,high
PTSD,40,disabling psychiatric disorder with suicide risk,high
Pain,15,nonspecific pain not life-threatening,med
Pain During Labour,15,acute labor pain not life-threatening,high
Pain Management,15,nonspecific pain management not life-threatening,med
Pain Management After Surgery,8,acute postoperative pain self-limited,high
Pain Relief,15,nonspecific pain relief not life-threatening,med
"Pain, Postoperative",8,acute postoperative pain self-limited,high
"Pain, Postoperative; Tooth Diseases",8,postoperative dental pain self-limited,high
Pain; Breast Cancer; Lung Cancer,88,underlying lung cancer high mortality untreated,high
Pain; Hyperalgesia; Inflammatory Response,15,pain and inflammation not life-threatening,med
Pain; Long-bone Fractures,20,fracture pain with injury morbidity not lethal,med
Pain; Traumatic Limb Injury,25,traumatic injury with morbidity not typically lethal,med
Painful Diabetic Neuropathy,30,chronic disabling neuropathic pain not lethal,high
Painful Diabetic Peripheral Neuropathy (PDPN),30,chronic disabling neuropathic pain not lethal,high
Pancreas Adenocarcinoma,95,rapidly fatal pancreatic cancer death in months,high
Pancreatic Adenocarcinoma (Ductal Adenocarcinoma),95,rapidly fatal pancreatic cancer death in months,high
Pancreatic Cancer,95,rapidly fatal pancreatic cancer death in months,high
Parental/Caregiver Anxiety; Child's Anxiety,10,anxiety not life-threatening,med
Parkinson Disease,55,progressive neurodegenerative disabling disease,high
Parkinson' Disease,55,progressive neurodegenerative disabling disease,high
Parkinson's Disease,55,progressive neurodegenerative disabling disease,high
Paroxysmal Nocturnal Hemoglobinuria,80,life-threatening hemolysis and thrombosis untreated,high
Partial Seizures,55,epilepsy with risk of status and SUDEP,high
Participants With Diabetic Neuropathic Pain,30,chronic disabling neuropathic pain not lethal,high
Participants With Extensive Stage Small Cell Lung Cancer,92,aggressive lung cancer rapidly fatal untreated,high
Participants With Higher-Risk Myelodysplastic Syndrome,85,high-risk MDS progresses to AML high mortality,high
Participants With Idiopathic Pulmonary Fibrosis,85,progressive fatal fibrotic lung disease,high
Participants With Locally Advanced or Metastatic Triple-Negative Breast Cancer,90,metastatic aggressive breast cancer high mortality,high
Patent Ductus Arteriosus,55,patent ductus arteriosus serious in neonates,med
Patent Ductus Arteriosus After Premature Birth,60,PDA in preterm neonate serious with complications,med
Patients Undergoing Surgery for Non-Small Cell Lung Cancer,88,lung cancer high mortality untreated,high
Patients With Antiphospholipid Syndrome,70,thrombotic disorder with life-threatening events,high
Patients With Moderate or Severe COVID-19,80,severe COVID-19 high mortality,high
Patients With Resected Pancreatic Cancer,90,pancreatic cancer high mortality even after resection,high
Patients With Rheumatoid Arthritis,55,chronic disabling systemic autoimmune disease,high
Patients With Scleroderma Related Lung Fibrosis,82,progressive lung fibrosis high mortality,high
Pediatric Asthma,40,chronic respiratory disease with acute fatal exacerbation risk,high
Pediatric Bipolar Disorder,50,serious psychiatric disorder with suicide risk,med
Pediatric Congestive Heart Failure (CHF) Patients With Volume Overload,80,heart failure high mortality untreated,high
Pediatric Crohn's Disease,55,chronic disabling inflammatory bowel disease,high
Pelvic Organ Prolapse; PONV,20,prolapse and nausea not life-threatening,med
Pemphigus,65,serious autoimmune blistering disease potentially fatal untreated,high
Pemphigus Vulgaris,70,potentially fatal autoimmune blistering disease untreated,high
Pemphigus Vulgaris; Pemphigus Foliaceus,70,potentially fatal autoimmune blistering disease untreated,high
Peptic Ulcer,35,ulcer disease with bleeding/perforation risk,high
Peptic Ulcer Hemorrhage,70,acute GI hemorrhage life-threatening,high
Peri-operative Hemorrhage or Hematoma; Surgery; Retrognathism,40,perioperative bleeding risk in surgical setting,med
Perioperative Anxiety,8,procedural anxiety not life-threatening,high
Perioperative Bleeding; Venous Thrombosis; Arterial Thrombosis,70,thrombosis and bleeding acutely life-threatening,high
Peripheral Arterial Disease,55,vascular disease with limb-loss and cardiovascular mortality,high
Peripheral Artery Disease,55,vascular disease with limb-loss and cardiovascular mortality,high
Peripheral Artery Disease; Atherosclerosis; Occlusive Arterial Disease,55,vascular disease with limb-loss and cardiovascular mortality,high
Peripheral Vertigo.,15,vertigo distressing but not life-threatening,high
Peritoneal Cancer,88,peritoneal malignancy high mortality untreated,high
Persistent Pregnancy of Unknown Location; Ectopic Pregnancy,80,ectopic pregnancy life-threatening rupture/hemorrhage,high
Philadelphia Chromosome Positive (PH+) Chronic Myelogenous Leukemia in Chronic Phase (CML-CP),75,leukemia fatal untreated though chronic-phase indolent,high
Phospholamban R14del Mutation-related Cardiomyopathy,80,inherited cardiomyopathy with arrhythmia and sudden death,high
Placenta Previa,70,obstetric condition with life-threatening hemorrhage,high
Placenta previa,70,obstetric condition with life-threatening hemorrhage,high
"Plague, Bubonic; Plague, Pneumonic",95,plague rapidly fatal untreated especially pneumonic,high
Plaque Psoriasis,35,chronic disabling skin disease with comorbidities,high
Plasmodium Falciparum Infection,85,falciparum malaria rapidly fatal untreated,high
Plasmodium falciparum malaria,85,falciparum malaria rapidly fatal untreated,high
Platelet Inhibition; Coronary Stent Implantation,70,post-stent thrombosis risk life-threatening,high
Platelet Reactivity,55,marker linked to thrombotic cardiovascular events,med
Pleural Mesothelioma Malignant Advanced,92,advanced mesothelioma rapidly fatal untreated,high
Pmm2-CDG; Phosphomannomutase 2 Deficiency; Congenital Disorder of Glycosylation,80,severe multisystem congenital disorder high mortality,med
Pneumonia,65,infection potentially fatal especially severe cases,high
"Pneumonia, Pneumocystis; Coronavirus; COVID-19",82,PCP and severe COVID-19 high mortality untreated,high
"Polycystic Kidney, Autosomal Dominant",55,progressive renal disease leading to kidney failure,high
Polycystic Ovary Syndrome,25,endocrine disorder with metabolic morbidity not lethal,high
Polycystic Ovary Syndrome; Insulin Resistance,25,endocrine disorder with metabolic morbidity not lethal,high
Polycystic Ovary Syndrome; Vitamin D Deficiency/Insufficiency,25,endocrine disorder with metabolic morbidity not lethal,high
Polycythemia Vera,65,myeloproliferative disorder with thrombotic and leukemic risk,high
Poor Glycemic Control,40,uncontrolled diabetes with long-term complications,high
Portal Hypertension; Esophageal Varices; Liver Cirrhosis,82,cirrhosis with variceal hemorrhage high mortality,high
Post Operative Cognitive Dysfunction,20,postoperative cognitive issue not life-threatening,med
Post Operative Dental Pain,8,self-limited postoperative dental pain,high
Post Operative Nausea and Vomiting; Sleeve Gastrectomy; Morbid Obesity,30,morbid obesity chronic morbidity with PONV symptoms,med
Post Partum Haemorrhage,80,postpartum hemorrhage acutely life-threatening,high
Post Partum Hemorrhage,80,postpartum hemorrhage acutely life-threatening,high
Post Traumatic Stress Disorder,40,disabling psychiatric disorder with suicide risk,high
Post Traumatic Stress Disorder; Alcohol Abuse,45,psychiatric disorder with substance abuse and suicide risk,high
Post Uterine Artery Embolization Pain,10,self-limited procedural pain,high
Post-ERCP Acute Pancreatitis,60,acute pancreatitis can be severe and life-threatening,high
Post-Operative Pain,8,acute postoperative pain self-limited,high
Post-Sternotomy Pain,12,postoperative cardiac surgery pain self-limited,high
Post-Surgical Ocular Pain; Post-Surgical Ocular Inflammation,10,self-limited postoperative ocular pain and inflammation,high
Post-Traumatic Headache,15,headache distressing but not life-threatening,high
Post-cesarean pain,8,acute postoperative pain self-limited,high
Post-herpetic Neuralgia,25,chronic neuropathic pain not life-threatening,high
Post-operative Pain,8,acute postoperative pain self-limited,high
Post-surgical Pain,8,acute postoperative pain self-limited,high
Postmenopausal Cancer,82,active malignancy high mortality untreated,med
Postoperative Confusion,20,postoperative delirium usually transient,med
Postoperative Depression,30,depression with suicide risk not acutely lethal,med
Postoperative Nausea and Vomiting,10,distressing but not life-threatening,high
Postoperative Nausea and Vomiting; Vomiting,10,distressing but not life-threatening,high
Postoperative Pain,8,acute postoperative pain self-limited,high
Postoperative Retention of Urine,15,transient urinary retention not life-threatening,high
Postoperative Urinary Retention,15,transient urinary retention not life-threatening,high
Postpartum Hemorrhage; Tranexamic Acid,80,postpartum hemorrhage acutely life-threatening,high
Postprandial Hypoglycemia,30,hypoglycemia can be dangerous but usually manageable,med
Pre- and Postoperative Pain,8,acute perioperative pain self-limited,high
Pre-Eclampsia,80,pregnancy disorder with maternal-fetal mortality risk,high
Pre-eclampsia,80,pregnancy disorder with maternal-fetal mortality risk,high
Pre-eclampsia; Fetus or Newborn; Effects of Induction of Labor,80,pre-eclampsia with maternal-fetal mortality risk,high
Pre-frail Elderly,25,frailty with increased morbidity not acutely lethal,med
Prediabetes; Type 2 Diabetes,40,chronic metabolic disease with long-term complications,high
Pregnancy Related; COVID; Covid-19,75,COVID-19 in pregnancy elevated maternal-fetal risk,high
"Pregnancy, Unwanted",20,reproductive setting not a severe disease,med
Pregnancy; Respiratory Distress Syndrome; Pregnancy Outcomes; Preterm Birth,80,neonatal RDS and preterm birth high mortality risk,high
Preoperative Sedation,8,procedural sedation setting not severe disease,high
Preterm Birth; Twin Dichorionic Diamniotic Placenta,75,preterm birth with neonatal mortality risk,high
Preterm premature rupture of membranes,70,PPROM with preterm birth and infection mortality risk,high
Prevention,15,nonspecific prevention setting not severe disease,low
Prevention & Control,15,nonspecific prevention setting not severe disease,low
Prevention of Cytomegalovirus Infection,65,CMV infection serious in immunocompromised,high
Prevention of Graft-versus-Host Disease,80,GVHD high mortality in transplant patients,high
Prevention of Ovarian Hyperstimulation Syndrome,50,OHSS can be severe and life-threatening,med
Prevention of Pain,12,pain prevention setting not severe disease,med
Previously Treated Chronic Lymphocytic Leukemia,72,leukemia fatal untreated though often indolent,high
Previously Untreated Chronic Lymphocytic Leukemia,70,leukemia fatal untreated though often indolent,high
Primary Biliary Cholangitis,65,progressive cholestatic liver disease toward cirrhosis,high
Primary Breast Cancer,80,invasive breast cancer significant mortality untreated,high
Primary Dysmenorrhoea,12,painful menstruation not life-threatening,high
Primary Hyperlipidemia and Mixed Dyslipidemia,38,chronic CV risk factor not acutely lethal,high
"Primary MDS (Very Low, Low or Intermediate IPSS-R With <5% Blasts); Anemia",62,low-risk myelodysplasia with cytopenias progression risk,high
Primary Mitochondrial Myopathy,60,progressive disabling multisystem disease,med
Primary Myelofibrosis (MF),78,clonal marrow failure shortened survival,high
Primary Myelofibrosis; MPN-associated Myelofibrosis,78,clonal marrow failure shortened survival,high
Primary Myelofibrosis; Post-Polycythemia Vera Myelofibrosis; Post-Essential Thrombocythemia Myelofibrosis,78,clonal marrow failure shortened survival,high
Primary Myelofibrosis; Post-polycythemia Vera Myelofibrosis; Post-essential Thrombocythemia Myelofibrosis,78,clonal marrow failure shortened survival,high
Primary Peritoneal Cancer,90,aggressive advanced abdominal malignancy,high
Primary Sclerosing Cholangitis,72,progressive cholestatic liver disease to cirrhosis,high
Procedural Pain,8,transient procedural discomfort not life-threatening,high
Procedural Sedation and Analgesia,12,procedural setting moderate monitored risk,med
Prostate Cancer,72,malignancy variable lethality,high
Prostate Cancer Metastatic,88,metastatic incurable malignancy,high
Prostate Cancer; Castration Resistant Prostate Cancer; Pain; Prostatic Neoplasms,88,castration-resistant metastatic malignancy,high
Prostrate Cancer,72,malignancy variable lethality,high
Proteinuria,40,marker of progressive renal damage,med
Psoriasis,45,chronic disabling inflammatory skin disease,high
Psoriasis Vulgaris,45,chronic disabling inflammatory skin disease,high
Psoriatic Arthritis,55,progressive erosive inflammatory arthritis,high
Psychomotor Agitation,35,acute distressing state variable cause,med
Psychotic Disorders; Personality Disorders; Clinical High Risk,58,serious psychiatric morbidity and suicide risk,med
Pulmonary Arterial Hypertension,80,progressive fatal right heart failure,high
Pulmonary Arterial Hypertension; Chronic Thromboembolic Pulmonary Hypertension,80,progressive fatal pulmonary vascular disease,high
Pulmonary Arterial Hypertension; Pulmonary Hypertension,80,progressive fatal right heart failure,high
Pulmonary Embolism,78,acute potentially fatal vascular occlusion,high
Pulpitis,8,painful dental inflammation not life-threatening,high
Purpura; Idiopathic Thrombocytopenic Purpura,50,bleeding risk from low platelets,med
Quality of Bowel Preparation for the Colon Capsule; Colon Capsule Completion Rates; Colon Capsule Polyp Detection,6,procedural screening preparation benign setting,high
Radiotherapy; Toripalimab; Sorafenib; Advanced Hepatocellular Carcinoma,90,advanced liver malignancy poor survival,high
Rapid Atrial Fibrillation; Heart Rate Control,55,arrhythmia with hemodynamic and stroke risk,med
Recurrent Waldenstrom Macroglobulinemia; Refractory Waldenstrom Macroglobulinemia; Waldenstrom Macroglobulinemia,80,relapsed refractory indolent lymphoma,high
Recurrent or Metastatic Head and Neck Cancer,90,metastatic incurable malignancy,high
Recurrent urinary tract infections,25,recurrent infection rarely life-threatening,high
Reducing Psychological Side Effects of Ketamine,10,managing drug side effects benign setting,med
Reduction of Gestational Diabetes,40,pregnancy metabolic condition manageable,med
Reflux Esophagitis,22,bothersome chronic mucosal injury,high
Refractory Cancer,92,treatment-refractory advanced malignancy,high
Refractory Chronic Leukemia,85,refractory hematologic malignancy,high
Refractory Colorectal Cancer,90,refractory metastatic malignancy,high
Relapse Prevention in Adult Participants With Treatment-resistant Depression,55,severe refractory depression suicide risk,med
Relapsed Prostate Cancer,85,relapsed advanced malignancy,high
Renal Cell Carcinoma (RCC),80,malignancy potentially metastatic,high
Renal Colic,18,acute severe pain self-limited,high
Renal Failure; Critical Care; Gram Positive Bacteria,82,critical illness with organ failure and sepsis,high
Renal Function After Partial Nephrectomy,30,post-surgical renal preservation context,med
Renal Insufficiency,55,progressive organ dysfunction,med
"Renal Insufficiency, Chronic",58,progressive chronic kidney disease,high
Respiratory Infection,40,infection variable severity,med
Rheumatoid Arthritis,58,progressive disabling systemic autoimmune disease,high
Rhinosinusitis,18,common mostly self-limited inflammation,high
Richter's Transformation,92,aggressive transformed lymphoma poor prognosis,high
Risk of Disease,30,nonspecific risk state,low
Roux en Y Gastric Bypass Surgery,35,bariatric surgery for severe obesity,med
SARS-CoV-2,55,viral infection variable severity,med
SARS-CoV-2 Infection,55,viral infection variable severity,med
SCLC,90,aggressive small cell lung cancer poor survival,high
ST Elevation Myocardial Infarction,82,acute life-threatening myocardial necrosis,high
ST Segment Elevation Myocardial Infarction,82,acute life-threatening myocardial necrosis,high
Schizoaffective and Schizophreniform Disorders; Schizophrenia,62,chronic severe psychosis with suicide and mortality risk,high
Schizophrenia,62,chronic severe psychosis with suicide and mortality risk,high
Schizophrenia; Medication Nonadherence; Schizo Affective Disorder,62,chronic severe psychosis with mortality risk,high
Schizophrenia; Schizoaffective Disorder,62,chronic severe psychosis with mortality risk,high
Schizophrenia; Schizoaffective Disorder; Schizophreniform Disorder; Psychosis NOS,62,chronic severe psychosis with mortality risk,high
Schizophrenia; Schizoaffective Disorder; Schizophreniform Disorders,62,chronic severe psychosis with mortality risk,high
Schizophrenia; Schizophreniform Disorders; Bipolar I Disorder,62,chronic severe psychiatric illness suicide risk,high
Scoliosis; Adolescence; Anesthesia Recovery Period,25,corrective surgery context moderate risk,med
Seborrheic Dermatitis; Papulopustular Rosacea,8,benign chronic skin conditions,high
Secondary Cancer,82,malignancy variable lethality,med
"Secondary Hyperparathyroidism, Chronic Kidney Disease",55,CKD complication progressive morbidity,high
Secondary Hyperparathyroidism-Chronic Kidney Disease,55,CKD complication progressive morbidity,high
Secondary Hyperparathyroidism; Chronic Kidney Disease,55,CKD complication progressive morbidity,high
Sedation in Intensive Care,40,critical care setting moderate-high acuity,med
Sedation or Anesthesia,15,procedural setting monitored risk,med
Sepsis,82,life-threatening organ dysfunction from infection,high
Sepsis; Septic Shock,85,life-threatening shock high mortality,high
Septic Shock,85,life-threatening shock high mortality,high
Septic Shock; Sepsis,85,life-threatening shock high mortality,high
Septic Shock; Vasopressor Resistance,88,refractory shock very high mortality,high
Severe COVID-19 Pulmonary Infection,82,severe respiratory failure high mortality,high
Severe Cancer,90,advanced severe malignancy,med
Shivering,6,transient benign symptom,high
Shoulder Arthritis,15,chronic joint pain not life-threatening,high
Sickle Cell Anemia,65,chronic disease with crises and organ damage shortened survival,high
Sickle Cell Anemia in Children,65,chronic disease with crises and organ damage,high
Sickle Cell Anemia; Sickle Cell Disease; Malaria,68,sickle disease plus potentially fatal malaria,high
Sickle Cell Disease,65,chronic disease with crises and organ damage shortened survival,high
Sickle Cell Disease; Sickle Cell Anemia,65,chronic disease with crises and organ damage,high
Skin Structures and Soft Tissue Infections,42,infection variable severity can be serious,med
Skin and Subcutaneous Tissue Bacterial Infections,42,infection variable severity can be serious,med
Skin and Subcutaneous Tissue Bacterial Infections; Skin Structures and Soft Tissue Infections,42,infection variable severity can be serious,med
Sleep Disorder,15,bothersome not life-threatening,high
Smoking Among Cancer,30,behavioral risk factor in cancer context,low
Smoking Cessation,25,behavioral risk reduction not acute,high
Solid Tumors,85,advanced solid malignancies,high
Sore Throat,5,benign self-limited symptom,high
Spinal Fusion,28,major surgery for spinal pathology,med
Spinal anesthesia-induced hypotension,20,procedural hemodynamic effect manageable,med
"Spondylitis, Ankylosing",52,progressive disabling inflammatory spondyloarthritis,high
Squamous Cell Carcinoma of the Head and Neck,85,locally aggressive malignancy,high
Squamous Cell Lung and Head and Neck Cancer,88,aggressive malignancies poor survival,high
Staphylococcus Aureus Bacteremia,82,bloodstream infection high mortality,high
Status Epilepticus,82,acute prolonged seizures life-threatening,high
Status Epilepticus; Epilepsy,82,acute prolonged seizures life-threatening,high
"Stent Thrombosis; Myocardial Infarction, Acute",82,acute life-threatening coronary event,high
Steroid Refractory GVHD,85,refractory graft-versus-host disease high mortality,high
Steroid-Dependent Nephrotic Syndrome,50,chronic renal disease with relapses,med
Stomach Neoplasms,85,gastric malignancy poor prognosis,high
Stress Ulcer Prophylaxis,40,prophylaxis in critically ill setting,med
Stroke,80,acute potentially fatal disabling event,high
Stroke; Secondary Prevention,60,prevention after disabling vascular event,high
Subfertility,8,reproductive condition not life-threatening,high
Subjects Who Have Participated in a Study of Tivozanib Versus Sorafenib in Kidney Carcinoma,80,renal cell carcinoma malignancy context,med
Subjects With Idiopathic Pulmonary Fibrosis,82,progressive fatal fibrotic lung disease,high
Subjects With Platinum Resistant Ovarian Cancer,90,platinum-resistant advanced malignancy poor survival,high
Superficial Vein Thrombosis,25,usually benign self-limited thrombosis,high
Surgically Resected Pancreatic Cancer,85,resected aggressive malignancy high recurrence,high
Symptomatic Aortic Stenosis; Eligible for Transcatheter Aortic Valve Replacement,80,symptomatic valve disease high untreated mortality,high
Symptomatic Superficial Vein Thrombosis,25,usually benign self-limited thrombosis,high
Systemic Lupus Erythematosus,65,multisystem autoimmune disease organ-threatening,high
Systemic Sclerosis,70,multisystem fibrotic disease organ failure,high
Systemic Sclerosis; Scleroderma; Interstitial Lung Disease,75,fibrotic disease with fatal lung involvement,high
T2DM; Type 2 Diabetes Mellitus,40,chronic manageable metabolic disease,high
TSH Control in Patients With Chronic Kidney Disease,45,thyroid management in CKD context,med
Tardive Dyskinesia,30,chronic disabling movement disorder,high
Thalassemia; Iron Overload,60,transfusion-dependent anemia with organ iron damage,high
Therapy of Premature Ventricular Contractions in Patients With Structural Heart Disease,60,arrhythmia in structural heart disease arrhythmic risk,med
Thrombocytopenia,45,low platelets bleeding risk variable cause,med
Thrombocytopenia in Patients With Chronic Liver Disease,55,bleeding risk in cirrhosis context,high
Thrombocytopenia; Hematologic Diseases,50,bleeding risk variable hematologic cause,med
Thromboembolism,72,potentially fatal vascular occlusion,high
Thrombosis,68,potentially fatal vascular occlusion,high
Thyroid Cancer,60,malignancy often indolent good prognosis,high
Thyroid-associated Ophthalmopathy; Dry Eye Syndrome,30,disfiguring vision-threatening orbital disease,med
Thyroidectomy; Thyroid Diseases,35,surgical thyroid disease context,med
Total Blood Loss,40,perioperative bleeding management,med
Total Knee Arthoplasty,18,elective joint surgery for arthritis,high
Tourette Syndrome,25,chronic neuropsychiatric disorder not lethal,high
Tract Cancer,82,malignancy variable lethality,low
Tract Carcinoma,82,malignancy variable lethality,low
Tranexamic Acid,30,non-disease drug-name string bleeding context,low
Transfusion-dependent Beta-Thalassemia,62,transfusion-dependent anemia with iron overload,high
Transient Ischemic Attack; Stroke; Atrial Fibrillation,80,stroke risk acute disabling vascular event,high
Transplantation Infection; Cytomegalovirus Infections,68,opportunistic infection in immunocompromised host,high
Trauma Pain,18,acute pain from injury self-limited,med
Traumatic Brain Injury,82,acute potentially fatal disabling injury,high
Traumatic Femur Fracture,40,major fracture with bleeding and complication risk,med
Traumatic Hemorrhage,85,acute life-threatening blood loss,high
Traveler's Diarrhea,12,self-limited gastrointestinal infection,high
Treat Cancer,85,malignancy variable lethality,low
Treatment Resistant Depression,55,severe refractory depression suicide risk,high
Treatment Resistant Late-Life Depression,55,severe refractory depression suicide risk,high
Treatment of Acute Pain,12,acute pain self-limited,high
Treatment of Chronic Hepatitis C Infection,58,chronic infection progressing to cirrhosis,high
Treatment of Graft-Versus-Host Disease,82,serious post-transplant complication high mortality,high
Treatment of Major Depressive Disorder,45,depression with suicide risk variable severity,high
Treatment of Ocular Inflammation and Pain,18,ocular inflammation manageable not lethal,med
Treatment of Patients With Recurrent or Metastatic Squamous Cell Carcinoma,90,metastatic incurable malignancy,high
Treatment of Type 2 Diabetes,40,chronic manageable metabolic disease,high
Treatment of the Depressive Episode in Participants With Bipolar I Disorder,55,bipolar depression with high suicide risk,high
Treatment-resistant Depression,55,severe refractory depression suicide risk,high
Tricuspid Regurgitation; Right Ventricular Dilatation,62,progressive valve disease right heart failure,med
Triple Negative Breast Cancer,85,aggressive malignancy poor prognosis,high
Triple-Negative Breast Neoplasms; Breast Neoplasm; Breast Cancer; Triple-Negative Breast Cancer,85,aggressive malignancy poor prognosis,high
