disease,placebo_magnitude,endpoint_subjectivity,effect_size_uncertainty,confidence,basis
Insulin Resistance; Microvascular Disease,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
depressive disorder,75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
Atrial Fibrillation; Stroke,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Treat Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Infection; Surgical Site Infection,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
binge eating disorder,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Hypertension; Cardiovascular Disease,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
Lung Transplantation,25,25,22,med,"Transplant/GVHD/immunosuppression: objective rejection/survival/lab endpoints, low placebo"
Diabetes; Microalbuminuria,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Coronary Artery Disease (CAD); Acute Coronary Syndrome (ACS),25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
post-traumatic stress disorder,75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
diabetes mellitus,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Intra-abdominal Infections,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Anal Incontinence,50,65,54,med,"Urologic symptomatic (overactive bladder/BPH/incontinence): high placebo, patient-reported voiding-diary endpoint"
Hydatidiform Mole,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Primary Dysmenorrhoea,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Acute Ischemic Stroke,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
arrhythmia,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Purpura; Idiopathic Thrombocytopenic Purpura,30,35,29,med,"Benign hematology (anemia/ITP/thrombosis): objective lab/event endpoints, low placebo"
chronic venous disease,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Ventricular Septal Defect; Atrioventricular Septal Defect; Primum Atrial Septal Defect,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
genital herpes,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Herpes Zoster,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
chronic inflammatory demyelinating polyradiculoneuropathy,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
Pancreatic Adenocarcinoma (Ductal Adenocarcinoma),15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Maintenance Therapies in Advanced Non Small Cell Lung Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Metastatic or Locally Advanced Unresectable Pancreatic Adenocarcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Diabetic Patients,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Psychomotor Agitation,75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
Forearm Fracture,25,30,25,med,"Bone (osteoporosis/BMD/fracture): objective DXA/fracture endpoints, low placebo"
Acetaminophen; Drug Overdose; Acetaminophen Overdose; Acetaminophen Poisoning; Drug-induced Liver Injury; Liver Failure; Liver Toxicity,30,35,29,med,"Organ fibrosis (IPF/cirrhosis/PAH): objective measures (FVC/6MWD/hemodynamics), low-moderate placebo"
Obesity; Insulin Resistance,35,45,37,med,Obesity: objective weight endpoint but behavioral placebo/lifestyle effect moderate
limited cutaneous systemic sclerosis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Nonviable pregnancy,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
Perioperative Anxiety,75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
Barrett's Esophagus,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Diabetes; Glucose Tolerance,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Ventilator-associated Bacterial Pneumonia,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Poor Glycemic Control,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
of Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Community Acquired Respiratory Disease Syndrome,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
sialorrhea,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
orthostatic hypotension,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
"Urologic Diseases; Urinary Bladder, Overactive; Urinary Bladder Diseases",50,65,54,med,"Urologic symptomatic (overactive bladder/BPH/incontinence): high placebo, patient-reported voiding-diary endpoint"
Failed labor induction,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
HIV Infection,15,18,20,high,"HIV: objective viral-load suppression endpoint, minimal placebo"
hyperemesis gravidarum,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Vivax Malaria,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Complicated Skin and Soft Tissue Infection,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Advanced Rectal Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Type 2 DIAbetes,22,22,25,high,"T2D: objective HbA1c lab endpoint, small placebo drift"
end-stage kidney disease,30,35,29,med,"Renal/CKD: objective lab endpoints (eGFR/proteinuria), low-moderate placebo"
autosomal dominant polycystic kidney disease,30,35,29,med,"Renal/CKD: objective lab endpoints (eGFR/proteinuria), low-moderate placebo"
Hyperlipidemia; Hypertension,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
Indwelling Urinary Catheter; Male Patients; General Anesthesia,35,40,34,med,"Healthy-volunteer / PK / anesthesia / sedation: objective physiologic endpoints, low placebo"
Gastrointestinal Bleeding,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Hip Fracture; Blood Loss,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
acne,45,65,52,med,"Symptomatic dermatology (pruritus/QoL): moderate placebo, partly patient-reported/clinician-visual endpoint"
oral lichen planus,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Congenital Cytomegalovirus Infection; Sensorineural Hearing Loss,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Smoking Among Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Type 2 Diabetes Mellitus (T2DM),22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
acute pharyngitis,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
drug-resistant focal epilepsy,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
"Carcinoma, Non-Small-Cell Lung",15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Cancer Malignancies,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Dexamethasone-induced Hiccup in Chemotherapy,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
solid tumor,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Pre-eclampsia,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Metastatic Castration-resistant Prostate Cancer; Metastatic Breast Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
onchocerciasis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Tumor Lysis Syndrome,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Respiratory Infection,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Thalassemia; Iron Overload,30,40,32,med,"Rare genetic/monogenic (DMD/CF/Noonan): often objective functional/biomarker endpoints, low-moderate placebo"
Infectious Pneumonia; Severe COVID-19,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Duchenne Muscular Dystrophy; Becker Muscular Dystrophy; Dystrophinopathy,30,40,32,med,"Rare genetic/monogenic (DMD/CF/Noonan): often objective functional/biomarker endpoints, low-moderate placebo"
Myocardial Infarction; Peripheral Vascular Disease; Aortic Aneurism,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Glioblastoma; Adult-type Diffuse Gliomas,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Prevention of Ovarian Hyperstimulation Syndrome,15,20,15,med,"Prophylaxis/contraception/vaccine: objective event/pregnancy/incidence endpoint, minimal placebo"
Covid19; SARS-CoV Infection,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Advanced Cervical Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Early Breast Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Pre-Eclampsia,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Dermatomyositis; Polymyositis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Preterm premature rupture of membranes,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
premature ejaculation,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Platelet Inhibition; Coronary Stent Implantation,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
PCOS,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
Thyroidectomy; Thyroid Diseases,30,35,29,med,"Metabolic/endocrine: largely objective lab biomarkers, small placebo drift"
Bone Metastases,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Vomiting Postoperative,70,85,75,med,"Functional GI (IBS/constipation/dyspepsia): high placebo (~30%), patient-reported symptom endpoint"
Children With Febrile Urinary Tract Infection,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Blepharitis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Osteo Arthritis of the Knee,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Chronic Idiopathic Urticaria,45,65,52,med,"Symptomatic dermatology (pruritus/QoL): moderate placebo, partly patient-reported/clinician-visual endpoint"
"Anxiety Neuroses; Anxiety States, Neurotic; Neuroses, Anxiety",75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
diabetic foot infection,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Coxarthrosis; Arthroplasties Hip Replacement; Perioperative Blood Loss,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
male infertility,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
Intervertebral Disc Prolapse,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
"Infant, Newborn; Infant, Small for Gestational Age; Infant, Very Low Birth Weight; Infant, Premature; Bronchopulmonary Dysplasia",40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
Septic Shock; Sepsis,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Autoimmune Diseases; Sjogren's Syndrome; Dry Eye,40,55,44,med,"Inflammatory rheum/IBD (RA/PsA/UC/Crohn): composite clinical-response endpoints with patient-reported components, moderate placebo"
High Risk Polycythemia Vera; High Risk Essential Thrombocythemia,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Friedreich ataxia,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
Hypertension; Hyperlipidemia,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
Acne,45,65,52,med,"Symptomatic dermatology (pruritus/QoL): moderate placebo, partly patient-reported/clinician-visual endpoint"
Refractory Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Procedural Sedation and Analgesia,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Untreated Patients With Follicular Lymphoma,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
colorectal carcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Lumbar Sciatic Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
cocaine dependence,55,70,59,med,"Addiction/cessation: high placebo + behavioral component, abstinence partly self-reported"
Pneumonia,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Peptic Ulcer,40,55,44,med,"GERD/peptic ulcer/esophagitis: symptom relief is subjective, healing on endoscopy objective; moderate placebo"
hypertension,22,20,25,high,"Hypertension: objective BP measurement, small placebo/regression effect"
Infantile Spasms,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
"Renal Insufficiency, Chronic",30,35,29,med,"Renal/CKD: objective lab endpoints (eGFR/proteinuria), low-moderate placebo"
Non-cephalic Presentation; Inhalation of Nitrous Oxide; Pregnancy Complications; Complications; Cesarean Section; Fetus or Neonate Affected by External Version Before Labor,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
Autistic Disorder in Children and Adolescents,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Human Immunodeficiency Virus (HIV) Infections; Acquired Immunodeficiency Syndrome (AIDS) Virus,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Superficial Vein Thrombosis,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Borderline personality disorder,55,80,65,med,"Psychotic-spectrum: subjective clinician-rated symptom scales (PANSS/BPRS), moderate placebo"
Treatment of Type 2 Diabetes,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Inflammation; Macrophage Infiltration; Cardiovascular Disease,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Chronic Viral Hepatitis B Without Delta-agent,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
osteoarthritis,60,80,80,high,Osteoarthritis: web-verified ~47% placebo responders on VAS pain; subjective pain endpoint
tardive dyskinesia,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Peripheral Artery Disease,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Cardiac-induced Edema,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Heart Failure; Dyspnea,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Cardiac Edema,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Pain During Labour,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
mutant Melanoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Cutaneous Melanoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Acetabular Fractures,25,30,25,med,"Bone (osteoporosis/BMD/fracture): objective DXA/fracture endpoints, low placebo"
"Very Low Risk, Low Risk, or Intermediate Risk MDS Per IPSS-R",45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
major depressive disorder,78,88,90,high,"MDD: web-verified placebo response ~31%, HAM-D placebo improvement ~8pts; subjective rating scale"
Cutaneous T-Cell Lymphoma,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Pulmonary Embolism,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Deep Vein Thrombosis,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
vascular disease,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Pmm2-CDG; Phosphomannomutase 2 Deficiency; Phosphomannomutase 2 Congenital Disorder of Glycosylation; Phosphomannomutase II Congenital Disorder of Glycosylation; Phosphomannomutase II Deficiency,30,40,32,med,"Rare genetic/monogenic (DMD/CF/Noonan): often objective functional/biomarker endpoints, low-moderate placebo"
renal cell carcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
cervical spondylotic myelopathy,40,55,44,med,"Inflammatory rheum/IBD (RA/PsA/UC/Crohn): composite clinical-response endpoints with patient-reported components, moderate placebo"
HIV Infections; Cytomegalovirus; CMV,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Acute Upper Gastrointestinal Bleeding,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Metastatic Nasopharyngeal Carcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Reducing Psychological Side Effects of Ketamine,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Lung Diseases; Diagnosis; Anesthesia,35,40,34,med,"Healthy-volunteer / PK / anesthesia / sedation: objective physiologic endpoints, low placebo"
Post-cesarean pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
rotator cuff tear,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Acute Pain Due to Trauma,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Advance Melanoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Urothelial Carcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
"Muscular Dystrophy, Duchenne",30,40,32,med,"Rare genetic/monogenic (DMD/CF/Noonan): often objective functional/biomarker endpoints, low-moderate placebo"
Improved Postoperative Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Scoliosis; Adolescence; Anesthesia Recovery Period,35,40,34,med,"Healthy-volunteer / PK / anesthesia / sedation: objective physiologic endpoints, low placebo"
endometrial hyperplasia,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Urinary Tract Infections; Acute Pyelonephritis,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
pyruvate kinase deficiency,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Steroid-Dependent Nephrotic Syndrome,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Lung-transplant Recipients,25,25,22,med,"Transplant/GVHD/immunosuppression: objective rejection/survival/lab endpoints, low placebo"
Peritoneal Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Participants With Locally Advanced or Metastatic Triple-Negative Breast Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Pleural Mesothelioma Malignant Advanced,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
schistosomiasis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Vasomotor Symptoms; Menopausal Symptoms,55,75,62,med,"Vasomotor/hot-flash symptoms: very high placebo, patient-reported symptom-frequency endpoint"
Induction of Anesthesia,35,40,34,med,"Healthy-volunteer / PK / anesthesia / sedation: objective physiologic endpoints, low placebo"
Anesthesia for Elective Surgery Patients,40,50,42,med,Wound/surgical-recovery/perioperative: mix of objective (blood loss) and recovery/symptom endpoints
Atrial Fibrillation; Stroke; Bleeding,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Atrial Fibrillation; Intracerebral Hemorrhage,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Post-Sternotomy Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Steroid Refractory GVHD,25,25,22,med,"Transplant/GVHD/immunosuppression: objective rejection/survival/lab endpoints, low placebo"
motion sickness,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
trichomoniasis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
multiple sclerosis,38,52,50,high,"MS: relapse rate/MRI (objective) + EDSS (semi-subjective), moderate placebo"
Post-ERCP Acute Pancreatitis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Critical Illness; Sedation; Mechanical Ventilation,20,20,18,med,"Severe acute (sepsis/shock/critical care): objective mortality/organ-failure endpoints, low placebo"
acute respiratory distress syndrome,20,20,18,med,"Severe acute (sepsis/shock/critical care): objective mortality/organ-failure endpoints, low placebo"
Intrapartum - Moderate and Severe Anaemia,30,35,29,med,"Benign hematology (anemia/ITP/thrombosis): objective lab/event endpoints, low placebo"
Sickle Cell Disease; Sickle Cell Anemia,30,40,32,med,"Rare genetic/monogenic (DMD/CF/Noonan): often objective functional/biomarker endpoints, low-moderate placebo"
newborn respiratory distress syndrome,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Lung Cancer; Head and Neck Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Rhinosinusitis,40,50,42,med,"Chronic respiratory (asthma/COPD): mix of spirometry (objective) + symptom/exacerbation (semi-subjective), moderate placebo"
Left Ventricular Thrombus; ST Segment Elevation Myocardial Infarction,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
rhinosinusitis,40,50,42,med,"Chronic respiratory (asthma/COPD): mix of spirometry (objective) + symptom/exacerbation (semi-subjective), moderate placebo"
Multiple Sclerosis; Infusion Reaction,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
congenital heart disease,30,40,32,med,"Rare genetic/monogenic (DMD/CF/Noonan): often objective functional/biomarker endpoints, low-moderate placebo"
Pemphigus Vulgaris; Pemphigus Foliaceus,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
"Infertility, Female",40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
Vitiligo,45,65,52,med,"Symptomatic dermatology (pruritus/QoL): moderate placebo, partly patient-reported/clinician-visual endpoint"
Treatment-resistant Depression,75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
Tuberculosis; Respiratory Tract Infections; Pneumonia,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Cardiovascular Diseases,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
ischemic stroke,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Postoperative Nausea and Vomiting; Vomiting,70,85,75,med,"Functional GI (IBS/constipation/dyspepsia): high placebo (~30%), patient-reported symptom endpoint"
Opioid Use Disorder,55,70,59,med,"Addiction/cessation: high placebo + behavioral component, abstinence partly self-reported"
Metastatic Gastric Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Advanced Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Child Preschool,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Heart Failure With Preserved Ejection Fraction (HFpEF),25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Heart Failure With Reduced Ejection Fraction (HFrEF),25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Bullous Pemphigoid,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Adenocarcinoma of the Pancreas; Locally Advanced; Unresectable,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
"Heart Failure; Heart Failure, Systolic; Erectile Dysfunction",50,65,54,med,"Urologic symptomatic (overactive bladder/BPH/incontinence): high placebo, patient-reported voiding-diary endpoint"
Malignant Pleural Mesothelioma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
myelofibrosis,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Gallbladder Carcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Metastatic Nasopharyngeal Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Schizophrenia; Medication Nonadherence; Schizo Affective Disorder,55,80,65,med,"Psychotic-spectrum: subjective clinician-rated symptom scales (PANSS/BPRS), moderate placebo"
Visceral Leishmaniasis,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Active Dermatomyositis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Ankylosing Spondylitis,40,55,44,med,"Inflammatory rheum/IBD (RA/PsA/UC/Crohn): composite clinical-response endpoints with patient-reported components, moderate placebo"
Glucose Transporter Type 1 Deficiency Syndrome,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
